Supplier,,,,Verticle,,Customers
,,,,,,
AAB (CHINA) CO LTD,,,,Agriculture,,AARNEXT FARMACIA (SU) LDA.
ACHEM TECHNOLOGY (DONGGUAN) ADHESIVE PRODUCTS LTD.,,,,Automobile,,Abidjan
AEROSTAR HELMETS LIMITED,,,,COMESTIC ITEMS,,Agrova
AFRINEXT OVERSEAS PRIVATE LIMITED,,,,Commodities,,Bangui
AGRI-227 NL,,,,Food,,Boka Bathily
AGRIPLAST PROTECTED CULTIIVATION PVT LTD,,,,Forwarder Expense,,Brazzavile
AGRISAR DMCC,,,,Frozen,,Cabinda
AGROPEAK DMCC,,,,Furniture (Personal),,"CHEICKNE SANOGO, BAMAKO MALI"
"AJC INTERNATIONAL, INC.",,,,Garments,,Color Culture
ALLANASONS PRIVATE LIMITED,,,,Hardware - Building Material,,Conakry
ALTILA TIRE LIMITED,,,,Hardware - Engine & Generator,,Cotonou
AMBAR FROZEN FOODS,,,,Hardware - Raw Material,,Dicam
"ANGEL YEAST (HONGKONG) CO.,LTD",,,,HOUSEHOLD CHEMICALS,,Fabfer
"ANHUI HELI INDUSTRIAK VEHICKE IMP & EXP CO., LTD",,,,HYGEINE & PERSONAL CARE,,Fizzen
"ANHUI JIUCHI INTELLIGENT SECURITY TECHNOLOGY CO., LTD.",,,,KITCHENWARE,,Fronext
"ANYCOLOR COMPUTER CONSUMABLES CO., LTD.",,,,Machinary,,JONGOLA ENTERPRISE SU LDA
ARGENTRADE INTERNATIONAL B.V.,,,,Material,,Kishore Ghana
Ashok Leyland Ltd,,,,Medicine,,Lome
"ASIA GOLDEN RICE CO., LTD.",,,,OFFICE SUPPLY,,Lubumbashi
"ASIA MMD INDUSTRY CO., LIMITED",,,,Panoramic Padel Court,,Mali
"AYAMO USA, INC",,,,Sundry,,Mozambique
"BAIC INTERNATIONAL DEVELOPMENT CO., LTD",,,,Textile,,NARESH BURKINA FASO
"BAODING GREAT WALL INTERNATIONAL TRADE CO., LTD.",,,,White Goods,,Point Noire
BEEF PARAGUAY S.A.,,,,,,Pravilo Physical Fitness Ltd
"BEIJING MEIDAN FOOD CO.,LTD",,,,,,Sahel International Trading Limited
