Currency of Advance Deposit,Vertical/ Category,Select Supplier,SUM of Deposit Amount
EUR,Food,MEDITERRANEAN FOOD S.R.L.,"3,549.00"
,Food Total,,"3,549.00"
,Frozen,QUALITY MARINE EXPORTS,"5,000.00"
,Frozen Total,,"5,000.00"
EUR Total,,,"8,549.00"
RMB,Automobile,"YOG AUTO MOBILE PARTS CO., LTD.","236,721.58"
,Automobile Total,,"236,721.58"
,Hardware - Building Material,YIWU ZHONGYONG TRADING COMPNAY,"352,275.00"
,Hardware - Building Material Total,,"352,275.00"
,Hardware - Raw Material,YIWU ZHONGYONG TRADING COMPNAY,"426,601.00"
,Hardware - Raw Material Total,,"426,601.00"
,Sundry,YIWU ZHONGYONG TRADING COMPNAY,"208,232.00"
,Sundry Total,,"208,232.00"
,White Goods,"NINGBO YUEMEI ELECTRIC APPLIANCE CO., LTD.","48,739.80"
,White Goods Total,,"48,739.80"
RMB Total,,,"1,272,569.38"
USD,Automobile,"ANHUI HELI INDUSTRIAK VEHICKE IMP & EXP CO., LTD","22,627.50"
,,Ashok Leyland Ltd,"123,840.00"
,,"BAODING GREAT WALL INTERNATIONAL TRADE CO., LTD.","1,168,767.50"
,,"FAW TRUCKS INTERNATIONAL CO., LTD.","245,881.20"
,,"FOTON MOTOR INTERNATIONAL CO., LTD","59,301.31"
,,GREAT WALL MOTOR MIDDLE EAST FZE,"49,051.97"
,,"MITTO RUBBER TECHNOLOGY CO., LTD","72,880.00"
,,MRF Limited,"44,206.00"
,,VSK MOTORS AND TRADERS FZE,"105,462.00"
,,"YANGZHOU CIMC TONGHUA SPECIAL VEHICLES CO., LTD.","47,700.00"
,,YOMAXX ENTERPRISES,"102,852.80"
,Automobile Total,,"2,042,570.28"
,COMESTIC ITEMS,HOBI KOZMETIK IMALAT SAN. VE TIC. .A.S,"10,729.00"
,COMESTIC ITEMS Total,,"10,729.00"
,Food,"DINGTAO COUNTY ANJI FUQIANG YEAST CO., LTD.","7,125.30"
,,F&B NUTRITION SDN BHD,"15,120.00"
,,"GUANGDONG SWEET SIXTEEN FOODS CO., LTD","11,989.80"
,,HONG KONG SHUANG QI FOOD LIMITED,"11,625.00"
,,OVERSEAS TRADING FZC,"14,968.80"
,,RMT Nuts Trading Co Fzco,"503,750.00"
,,Sierra Palm Product DMCC,"511,155.00"
,,Sierra Palm Ventures FZ-LLC,"514,485.00"
,,"TIANJIN SHINHOO FOOD CO.,LTD.","7,148.75"
,,"ZHANGZHOU GREENCAN FOOD CO., LTD.","37,055.00"
,Food Total,,"1,634,422.65"
