SUM of Deposit Amount,,,Payt Status - Yogesh to Enter,,,"Payt Date 
(MM YYYY)",Currency of Advance Deposit,Bank,SUM of Deposit Amount,,,"Payt Date 
(MM YYYY)",Currency of Advance Deposit,Total Count of Payments
"Payt Date 
(MM YYYY)",Staff,Currency of Advance Deposit,Payment Processed,,,Apr-2026,EUR,DBS,"5,808.80",,,Apr-2026,EUR,1
Apr-2026,Anil,USD,"18,900.00",,,,EUR Total,,"5,808.80",,,,RMB,1
,Asta,EUR,"5,808.80",,,,RMB,CITI,"352,275.00",,,,USD,137
,,USD,"174,229.68",,,,RMB Total,,"352,275.00",,,Aug-2023,RMB,1
,Connie,USD,"120,000.00",,,,USD,CITI,"274,018.75",,,,USD,5
,Joey,USD,"2,107,133.58",,,,,DBS,"4,849,033.77",,,Aug-2026,USD,9
,Robin,RMB,"352,275.00",,,,,SCB,"111,626.40",,,Dec-1899,USD,0
,,USD,"346,018.56",,,,USD Total,,"5,234,678.92",,,Dec-2025,EUR,1
,Shilpali,USD,"1,760,159.00",,,Aug-2023,RMB,CITI,"12,600.00",,,,RMB,2
,Tricia,USD,"317,937.80",,,,RMB Total,,"12,600.00",,,,USD,24
,Ulrica,USD,"110,000.00",,,,USD,CITI,"46,081.22",,,Feb-2026,RMB,1
,Yogesh.Tulsiani,USD,"280,300.30",,,,USD Total,,"46,081.22",,,,USD,74
Aug-2023,Connie,USD,"20,000.00",,,Aug-2026,USD,CITI,"362,756.12",,,Jan-2026,EUR,6
,Joey,USD,"16,396.24",,,,USD Total,,"362,756.12",,,,RMB,8
,Robin,RMB,"12,600.00",,,Dec-1899,USD,,"10,425.00",,,,USD,121
,,USD,"9,684.98",,,,USD Total,,"10,425.00",,,Jul-2026,EUR,6
Aug-2026,Joey,USD,"51,673.77",,,Dec-2025,EUR,DBS,"5,832.00",,,,RMB,5
,Tricia,USD,"311,082.35",,,,EUR Total,,"5,832.00",,,,USD,134
Dec-1899,Robin,USD,425.00,,,,RMB,DBS,"17,640.61",,,Jun-2026,EUR,1
,Ulrica,USD,"10,000.00",,,,,SCB,"5,202.00",,,,RMB,3
Dec-2025,Anil,EUR,"5,832.00",,,,RMB Total,,"22,842.61",,,,USD,82
